Participant,Condition,Age,Gender,Time,AttBias
1,Attend,18,Female,Pre,-5.794354838709694
1,Attend,18,Female,Post,-17.857471264367803
2,Avoid,19,Female,Pre,-5.18958333333336
2,Avoid,19,Female,Post,26.082313681868754
3,Attend,24,Male,Pre,27
3,Attend,24,Male,Post,15.806451612903231
4,Avoid,21,Female,Pre,13.380040322580669
4,Avoid,21,Female,Post,-36.827635327635335
5,Avoid,22,Male,Pre,-9.449596774193537
5,Avoid,22,Male,Post,13.705357142857167
6,Attend,19,Female,Pre,15.349462365591364
6,Attend,19,Female,Post,13.679166666666674
7,Attend,19,Male,Pre,5.5
7,Attend,19,Male,Post,27.80645161290323
8,Attend,18,Male,Pre,8.5625
8,Attend,18,Male,Post,-13.446428571428555
9,Avoid,18,Male,Pre,15.34375
9,Avoid,18,Male,Post,8.269153225806463
10,Attend,18,Male,Pre,19.28125
10,Attend,18,Male,Post,-15.644153225806463
11,Avoid,21,Female,Pre,-7.9677419354838435
11,Avoid,21,Female,Post,34.6875
12,Attend,20,Male,Pre,0.03528225806451246
12,Attend,20,Male,Post,2.2436781609195577
13,Avoid,18,Female,Pre,8.815524193548413
13,Avoid,18,Female,Post,-18.533333333333303
14,Attend,18,Female,Pre,-11.9375
14,Attend,18,Female,Post,24.129032258064512
15,Avoid,18,Female,Pre,5.625
15,Avoid,18,Female,Post,11.64516129032262
16,Attend,19,Male,Pre,13.875
16,Attend,19,Male,Post,4.04115684093432
17,Avoid,20,Female,Pre,15.25
17,Avoid,20,Female,Post,3.2000000000000455
18,Attend,18,Male,Pre,0
18,Attend,18,Male,Post,-35.69254032258067
19,Avoid,18,Female,Pre,1.8064516129032313
19,Avoid,18,Female,Post,57.80645161290323
20,Avoid,18,Male,Pre,9.766666666666652
20,Avoid,18,Male,Post,-30.940262843488597
21,Attend,18,Female,Pre,4.6080459770115
21,Attend,18,Female,Post,-3.0977011494252906
22,Avoid,19,Female,Pre,-23.888104838709694
22,Avoid,19,Female,Post,-0.6099537037036953
23,Attend,23,Male,Pre,-24.836693548387075
23,Attend,23,Male,Post,46.65517241379314
24,Attend,25,Male,Pre,-3.8366935483870748
24,Attend,25,Male,Post,36.841935483871
25,Attend,18,Female,Pre,1.2459677419354875
25,Attend,18,Female,Post,25.76612903225805
26,Avoid,19,Male,Pre,-0.7036290322580498
26,Avoid,19,Male,Post,-13.215795328142406
27,Avoid,18,Female,Pre,10.092741935483843
27,Avoid,18,Female,Post,-15.5
28,Attend,20,Female,Pre,-19.38505747126436
28,Attend,20,Female,Post,16.26666666666665
29,Avoid,20,Female,Pre,3.28125
29,Avoid,20,Female,Post,1.838709677419331
30,Attend,20,Female,Pre,-14.28125
30,Attend,20,Female,Post,3.3520833333333258
31,Avoid,18,Male,Pre,-11.145161290322562
31,Avoid,18,Male,Post,-16.149999999999977
32,Avoid,18,Male,Pre,-13.118749999999977
32,Avoid,18,Male,Post,-28.90625
33,Avoid,21,Female,Pre,22.09806034482756
33,Avoid,21,Female,Post,-22.842857142857156
34,Attend,19,Female,Pre,2.3125
34,Attend,19,Female,Post,-15.026497695852527
35,Attend,19,Female,Pre,31.83870967741933
35,Attend,19,Female,Post,43.92129032258066
36,Avoid,20,Female,Pre,36.05947580645159
36,Avoid,20,Female,Post,-14.65109890109892
37,Attend,23,Female,Pre,11.705645161290306
37,Attend,23,Female,Post,15.322580645161281
38,Avoid,25,Male,Pre,38.487179487179446
38,Avoid,25,Male,Post,31.97285714285715
39,Avoid,19,Female,Pre,-14.625
39,Avoid,19,Female,Post,-1.1735261401557295
40,Attend,19,Male,Pre,33.477083333333326
40,Attend,19,Male,Post,0.0625
41,Avoid,18,Male,Pre,7.56458333333336
41,Avoid,18,Male,Post,-13.758620689655174
42,Attend,18,Female,Pre,-11.411290322580669
42,Attend,18,Female,Post,47.18850806451616
43,Attend,18,Male,Pre,2.0110887096774377
43,Attend,18,Male,Post,20.399999999999977
44,Avoid,19,Male,Pre,6.5
44,Avoid,19,Male,Post,-11.289583333333326
45,Attend,18,Female,Pre,-9.072302558398235
45,Attend,18,Female,Post,-14.323891625615772
46,Avoid,19,Male,Pre,-5.09375
46,Avoid,19,Male,Post,23.582661290322562
47,Attend,18,Female,Pre,-0.15625
47,Attend,18,Female,Post,28.53010752688175
48,Avoid,19,Female,Pre,34.75
48,Avoid,19,Female,Post,-0.28125
49,Avoid,21,Male,Pre,-3.40625
49,Avoid,21,Male,Post,0.7177419354838435
50,Attend,18,Female,Pre,-4.84375
50,Attend,18,Female,Post,6.600230414746534
51,Avoid,22,Male,Pre,12.185185185185162
51,Avoid,22,Male,Post,-4.467532467532465
52,Attend,19,Female,Pre,-3.46875
52,Attend,19,Female,Post,15.235483870967755
53,Avoid,19,Male,Pre,65.62068965517244
53,Avoid,19,Male,Post,-4.791871921182292
54,Attend,18,Female,Pre,-2.5282258064515872
54,Attend,18,Female,Post,-5.872043010752691
55,Avoid,19,Male,Pre,-11.96875
55,Avoid,19,Male,Post,4.15625
56,Attend,21,Male,Pre,19.08366935483872
56,Attend,21,Male,Post,-1.6814285714285688
57,Avoid,18,Female,Pre,19.725000000000023
57,Avoid,18,Female,Post,2.1206896551724412
58,Attend,25,Male,Pre,37.038095238095195
58,Attend,25,Male,Post,58.93333333333334
59,Avoid,23,Male,Pre,10.125
59,Avoid,23,Male,Post,-19.128024193548413
60,Attend,18,Female,Pre,10.971774193548413
60,Attend,18,Female,Post,10.51612903225805
61,Avoid,23,Male,Pre,14.4375
61,Avoid,23,Male,Post,-27.508045977011477
62,Attend,21,Female,Pre,-10.098790322580669
62,Attend,21,Female,Post,3.576344086021493
63,Avoid,19,Male,Pre,18.99032258064517
63,Avoid,19,Male,Post,43.31302270011946
64,Attend,22,Male,Pre,37.30040322580646
64,Attend,22,Male,Post,2.6758620689655004
65,Avoid,21,Male,Pre,13.645161290322562
65,Avoid,21,Male,Post,-38.817204301075265
66,Attend,20,Male,Pre,-7.741935483870975
66,Attend,20,Male,Post,-11.82758620689657
67,Avoid,20,Female,Pre,-10.96875
67,Avoid,20,Female,Post,8.237903225806463
68,Attend,19,Female,Pre,-15.599798387096769
68,Attend,19,Female,Post,58.52150537634412
69,Avoid,24,Female,Pre,34.32258064516128
69,Avoid,24,Female,Post,-1.2842741935484128
70,Attend,24,Female,Pre,6.90625
70,Attend,24,Female,Post,-16.02620967741933
71,Avoid,25,Male,Pre,6.954637096774206
71,Avoid,25,Male,Post,-4.818548387096769
72,Attend,18,Male,Pre,11.618951612903231
72,Attend,18,Male,Post,29.752016129032256
73,Avoid,19,Female,Pre,-13.90625
73,Avoid,19,Female,Post,-20.74623655913979
74,Attend,19,Female,Pre,5.334821428571445
74,Attend,19,Female,Post,-4.696428571428555
75,Avoid,19,Female,Pre,11.677419354838719
75,Avoid,19,Female,Post,14.259259259259238
76,Attend,24,Male,Pre,2.71875
76,Attend,24,Male,Post,-6.566666666666663
77,Avoid,20,Male,Pre,0.8000000000000114
77,Avoid,20,Male,Post,-6.979064039408911
78,Attend,18,Female,Pre,19.9677419354839
78,Attend,18,Female,Post,20.022246941045637
79,Avoid,25,Female,Pre,81.5506912442396
79,Avoid,25,Female,Post,-7.836206896551744
80,Attend,21,Female,Pre,8.882795698924724
80,Attend,21,Female,Post,7.20945083014044
81,Avoid,20,Female,Pre,-7.21875
81,Avoid,20,Female,Post,-0.40524193548384346
82,Attend,18,Female,Pre,19.129032258064512
82,Attend,18,Female,Post,-2.901098901098919
83,Avoid,22,Female,Pre,16.65625
83,Avoid,22,Female,Post,-18.951612903225794
84,Attend,22,Female,Pre,-3.28125
84,Attend,22,Female,Post,8.326666666666654
85,Avoid,19,Male,Pre,29.510752688172033
85,Avoid,19,Male,Post,-19.34367816091958
86,Avoid,18,Female,Pre,-6
86,Avoid,18,Female,Post,-30.543103448275872
87,Attend,22,Male,Pre,30.903225806451644
87,Attend,22,Male,Post,46.235887096774206
88,Avoid,21,Female,Pre,1.3497983870967687
88,Avoid,21,Female,Post,14.84375
89,Attend,20,Female,Pre,-17.262365591397838
89,Attend,20,Female,Post,9.64516129032262
90,Avoid,18,Female,Pre,1.5985221674876584
90,Avoid,18,Female,Post,-0.29032258064518146
91,Attend,18,Female,Pre,7
91,Attend,18,Female,Post,-14.75
92,Avoid,20,Female,Pre,-19.846982758620697
92,Avoid,20,Female,Post,24.19032258064516
93,Attend,22,Female,Pre,-2.6645833333333258
93,Attend,22,Female,Post,-14.130040322580669
94,Avoid,21,Female,Pre,-74.89144316730523
94,Avoid,21,Female,Post,-21.67741935483872
95,Attend,18,Female,Pre,-4.96875
95,Attend,18,Female,Post,31.53125
96,Avoid,23,Female,Pre,8.21875
96,Avoid,23,Female,Post,-1.2258064516129252
97,Attend,24,Female,Pre,9.052083333333314
97,Attend,24,Female,Post,25.357142857142833
98,Avoid,20,Female,Pre,22.933467741935488
98,Avoid,20,Female,Post,18.366666666666674
99,Attend,24,Male,Pre,-2.1935483870967687
99,Attend,24,Male,Post,-8.166666666666686
100,Avoid,25,Female,Pre,18.38508064516128
100,Avoid,25,Female,Post,8.525806451612937
101,Attend,25,Male,Pre,-7.625
101,Attend,25,Male,Post,-1.5549568965517437
102,Avoid,20,Male,Pre,-29.392976588628756
102,Avoid,20,Male,Post,2.7463054187192597
103,Attend,23,Male,Pre,4.125
103,Attend,23,Male,Post,10.481720430107544
104,Avoid,23,Female,Pre,-1.4233870967742064
104,Avoid,23,Female,Post,-6.007056451612925
105,Attend,18,Female,Pre,35.875
105,Attend,18,Female,Post,6.6708333333333485
106,Avoid,18,Male,Pre,5.25
106,Avoid,18,Male,Post,11.951612903225794
107,Attend,21,Female,Pre,9
107,Attend,21,Female,Post,42.04133064516128
108,Avoid,25,Male,Pre,-7.65625
108,Avoid,25,Male,Post,-46.875
109,Attend,18,Female,Pre,-26.840229885057454
109,Attend,18,Female,Post,-6.224025974026006
110,Avoid,20,Male,Pre,-2.652083333333337
110,Avoid,20,Male,Post,-12.833333333333314
111,Attend,18,Male,Pre,-9.5625
111,Attend,18,Male,Post,-26.040948275862092
112,Avoid,19,Female,Pre,2.6209677419354875
112,Avoid,19,Female,Post,19.70208333333335
113,Attend,20,Female,Pre,13.95262096774195
113,Attend,20,Female,Post,2.46875
114,Avoid,18,Female,Pre,9.946572580645181
114,Avoid,18,Female,Post,0.7681451612903061
115,Attend,20,Female,Pre,27.890322580645204
115,Attend,20,Female,Post,45.96774193548384
116,Attend,23,Female,Pre,17.16129032258067
116,Attend,23,Female,Post,-15.281720430107555
